,id,date,code,name,open,high,low,close,volume,money,change_pct
149,1634785,2018-01-02,801014,饲料,3696.64,3774.27,3639.17,3736.99,163885867.0,1721241956.24,1.4
150,1634786,2018-01-02,801015,渔业,1556.63,1585.37,1547.56,1573.5,32523966.0,231920161.44,1.14
151,1634787,2018-01-02,801012,农产品加工,2556.45,2598.98,2526.76,2578.34,117832930.0,1256497613.1,0.85
152,1634788,2018-01-02,801013,农业综合,2284.93,2297.67,2260.53,2285.71,12128884.0,54225035.64,0.58
153,1634790,2018-01-02,801011,林业,1798.52,1848.87,1788.28,1803.59,2888220.0,34891679.6,0.04
154,1634792,2018-01-02,801141,包装印刷,2779.98,2821.99,2747.53,2793.8,145185550.0,1505772471.55,0.5
155,1634793,2018-01-02,801142,其他轻工制造,2980.7,3041.66,2954.78,3016.22,274790464.0,4426254443.38,1.2
156,1634794,2018-01-02,801143,造纸,2867.49,2940.9,2836.45,2909.8,276332330.0,2344322210.03,1.99
157,1634795,2018-01-02,851761,航运,1531.52,1555.27,1521.89,1548.25,133296319.0,897272256.03,1.3
158,1634796,2018-01-02,801018,动物保健,6998.02,7063.77,6862.63,6942.79,16107334.0,350302012.2,0.2
159,1634797,2018-01-02,857232,路桥施工,2415.93,2456.89,2398.22,2442.25,137030000.0,1895670000.0,1.24
160,1634798,2018-01-02,801724,专业工程,2204.39,2245.8,2182.17,2230.21,304554226.0,2839353531.67,1.35
161,1634799,2018-01-02,801725,园林工程,13619.4,13767.96,13483.86,13703.2,149381397.0,2150905433.95,0.53
162,1634801,2018-01-02,801721,房屋建设,4026.2,4129.8,4020.15,4105.25,188385047.0,1749323316.5,1.88
163,1634802,2018-01-02,801722,装修装饰,9505.28,9737.74,9437.34,9665.64,138549672.0,2025230633.18,1.8
164,1634803,2018-01-02,801723,基础建设,2938.3,3000.02,2928.5,2985.17,371470729.0,4065073086.58,1.73
165,1634804,2018-01-02,801085,电子制造,4985.73,5046.28,4872.06,4961.948,473382053.0,9404248967.0,-0.03
166,1634805,2018-01-02,801084,显示器件,2152.38,2180.07,2111.47,2155.27,1378244161.0,11761877092.8,0.5
